stock_code,stock_name,stock_full_name,category
03050,SUNMOW,SUNMOW HOLDING BERHAD,CONSTRUCTION
5176,SUNREIT,SUNWAY REAL ESTATE INVT TRUST,REAL ESTATE INVESTMENT TRUSTS
3743,SUNSURIA,SUNSURIA BERHAD,PROPERTY
0262,SUNVIEW,SUNVIEW GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES
5211,SUNWAY,SUNWAY BERHAD,INDUSTRIAL PRODUCTS & SERVICES
5211PA,SUNWAY-PA,SUNWAY BERHAD - IRREDEEMABLE CONVERTIBLE PREFERENCE SHARES 2020/2025,INDUSTRIAL PRODUCTS & SERVICES
0148,SUNZEN,SUNZEN BIOTECH BHD,CONSUMER PRODUCTS & SERVICES
7235,SUPERLN,SUPERLON HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES
7106,SUPERMX,SUPERMAX CORPORATION BHD,HEALTH CARE
03018,SUPREME,SUPREME CONSOLIDATED RESOURCES BERHAD,CONSUMER PRODUCTS & SERVICES
6521,SURIA,SURIA CAPITAL HOLDINGS BHD,TRANSPORTATION & LOGISTICS
5303,SWIFT,SWIFT HAULAGE BERHAD,TRANSPORTATION & LOGISTICS
5135,SWKPLNT,SARAWAK PLANTATION BHD,PLANTATION
7186,SWSCAP,SWS CAPITAL BERHAD,CONSUMER PRODUCTS & SERVICES
9717,SYCAL,SYCAL VENTURES BHD,CONSTRUCTION
7082OR,SYF-OR,SYF RESOURCES BERHAD - ORDINARY RIGHTS,CONSUMER PRODUCTS & SERVICES
5173,SYGROUP,SHIN YANG GROUP BERHAD,TRANSPORTATION & LOGISTICS
1538,SYMLIFE,SYMPHONY LIFE BERHAD,PROPERTY
0279,SYNERGY,SYNERGY HOUSE BERHAD,CONSUMER PRODUCTS & SERVICES
0050,SYSTECH,SYSTECH BHD,TECHNOLOGY
7228,T7GLOBAL,T7 GLOBAL BERHAD,ENERGY
5012,TAANN,TA ANN HOLDINGS BHD,PLANTATION
7211,TAFI,TAFI INDUSTRIES BHD,CONSUMER PRODUCTS & SERVICES
6139,TAKAFUL,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,FINANCIAL SERVICES
2259,TALAMT,TALAM TRANSFORM BERHAD,PROPERTY
8524,TALIWRK,TALIWORKS CORPORATION BHD,UTILITIES
5191,TAMBUN,TAMBUN INDAH LAND BERHAD,PROPERTY
2429,TANCO,TANCO HOLDINGS BHD,PROPERTY
5149,TAS,TAS OFFSHORE BERHAD,TRANSPORTATION & LOGISTICS
5140,TASCO,TASCO BERHAD,TRANSPORTATION & LOGISTICS
0211,TASHIN,TASHIN HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES
7097,TAWIN,TA WIN HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES
7097PA,TAWIN-PA,TA WIN HOLDINGS BERHAD - IRREDEEMABLE CONVERTIBLE PREFERENCE SHARES 2019/2024,INDUSTRIAL PRODUCTS & SERVICES
4405,TCHONG,TAN CHONG MOTOR HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES
0221,TCS,TCS GROUP HOLDINGS BERHAD,CONSTRUCTION
0132,TDEX,TECHNODEX BHD,TECHNOLOGY
2054,TDM,TDM BHD,PLANTATION
7439,TECGUAN,TECK GUAN PERDANA BHD,CONSUMER PRODUCTS & SERVICES
8966,TECHBASE,TECHBASE INDUSTRIES BERHAD,CONSUMER PRODUCTS & SERVICES
5289,TECHBND,TECHBOND GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES
2739,TECHNAX,TECHNA-X BERHAD,ENERGY
7200,TEKSENG,TEK SENG HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES
0230,TELADAN,TELADAN GROUP BERHAD,PROPERTY
5347,TENAGA,TENAGA NASIONAL BHD,UTILITIES
7252,TEOSENG,TEO SENG CAPITAL BHD,CONSUMER PRODUCTS & SERVICES
8702,TEXCHEM,TEXCHEM RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES
0089,TEXCYCL,TEX CYCLE TECHNOLOGY (M) BHD,INDUSTRIAL PRODUCTS & SERVICES
0145,TFP,TFP SOLUTIONS BHD,TECHNOLOGY
9369,TGL,TEO GUAN LEE CORPORATION BHD,CONSUMER PRODUCTS & SERVICES
7034,TGUAN,THONG GUAN INDUSTRIES BHD,INDUSTRIAL PRODUCTS & SERVICES
9075,THETA,THETA EDGE BERHAD,TECHNOLOGY
7206,THHEAVY,TH HEAVY ENGINEERING BERHAD,ENERGY
5112,THPLANT,TH PLANTATIONS BHD,PLANTATION
7889,THRIVEN,THRIVEN GLOBAL BERHAD,PROPERTY
7374,TIENWAH,TIEN WAH PRESS HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES
7079OR,TIGER-OR,TIGER SYNERGY BERHAD-ORDINARY RIGHTS,PROPERTY
5031,TIMECOM,TIME DOTCOM BHD,TELECOMMUNICATIONS & MEDIA
7854,TIMWELL,TIMBERWELL BHD,INDUSTRIAL PRODUCTS & SERVICES
5239,TITIJYA,TITIJAYA LAND BERHAD,PROPERTY
5239PA,TITIJYA-PA,TITIJAYA LAND BERHAD - ICPS 2017/2022,PROPERTY
5297,TJSETIA,TUJU SETIA BERHAD,CONSTRUCTION
4863,TM,TELEKOM MALAYSIA BHD,TELECOMMUNICATIONS & MEDIA
0101,TMCLIFE,TMC LIFE SCIENCES BHD,HEALTH CARE
8397,TNLOGIS,TIONG NAM LOGISTICS HOLDINGS,TRANSPORTATION & LOGISTICS
7230,TOMEI,TOMEI CONSOLIDATED BHD,CONSUMER PRODUCTS & SERVICES
7285,TOMYPAK,TOMYPAK HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES
5010,TONGHER,TONG HERR RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES
5268,TOPBLDS,TOP BUILDERS CAPITAL BERHAD,CONSTRUCTION
7113,TOPGLOV,TOP GLOVE CORPORATION BHD,HEALTH CARE
0302,TOPMIX,TOPMIX BERHAD,INDUSTRIAL PRODUCTS & SERVICES
03013,TOPVISN,TOPVISION EYE SPECIALIST BERHAD,HEALTH CARE
7173,TOYOVEN,TOYO VENTURES HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES
7176,TPC,TPC PLUS BHD,CONSUMER PRODUCTS & SERVICES
5054,TRC,TRC SYNERGY BHD,CONSTRUCTION
0199,TRIMODE,TRI-MODE SYSTEM (M) BERHAD,TRANSPORTATION & LOGISTICS
0118,TRIVE,TRIVE PROPERTY GROUP BERHAD,TECHNOLOGY
5401,TROP,TROPICANA CORPORATION BERHAD,PROPERTY
0297,TSA,TSA GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES
9059,TSH,TSH RESOURCES BHD,PLANTATION
5042,TSRCAP,TSR CAPITAL BHD,CONSTRUCTION
03020,TTV,TT VISION HOLDINGS BERHAD,TECHNOLOGY
0272,TTVHB,TT VISION HOLDINGS BERHAD,TECHNOLOGY
5230,TUNEPRO,TUNE PROTECT GROUP BERHAD,FINANCIAL SERVICES
5167,TURBO,TURBO-MECH BERHAD,INDUSTRIAL PRODUCTS & SERVICES
4359,TURIYA,TURIYA BHD,TECHNOLOGY
7079,TWL,TWL HOLDINGS BERHAD,PROPERTY
5111,TWRREIT,TOWER REITS,REAL ESTATE INVESTMENT TRUSTS
5111TR,TWRREIT-TR,TOWER REAL ESTATE INVESTMENT TRUST - UNIT RIGHTS,REAL ESTATE INVESTMENT TRUSTS
7100,UCHITEC,UCHI TECHNOLOGIES BHD,INDUSTRIAL PRODUCTS & SERVICES
0005,UCREST,UCREST BERHAD,TECHNOLOGY
5148,UEMS,UEM SUNRISE BERHAD,PROPERTY
7133,ULICORP,UNITED U-LI CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES
